day,I_true,I_observed_noisy,NLS_fitted,EKF_fitted,EINN_fitted_seed1
61.0,1193.6955307023197,1250.2826351353317,9.379242387319746,1196.4189149326587,1032.8752426883707
62.0,1270.4033180918236,1217.7001586330346,9.645246817366253,1326.0422950906798,1115.1856432298694
63.0,1323.375116862217,1336.3066753248818,9.918794907101733,1464.4958487759975,1196.079605568504
64.0,1358.4462320599964,1135.6042890942495,10.200100563886913,1473.0040269507242,1272.9017809757636
65.0,1380.0332817734604,1261.728710968002,10.48938375348442,1306.8909366717112,1342.5947881053191
66.0,1391.478930214947,1487.251890839283,10.786870680208542,1404.4990025069842,1401.8001921402608
67.0,1395.3128510212928,1234.219854582686,11.092793960235626,1319.628365378823,1447.0352863709693
68.0,1393.4492790212878,1484.0865202829389,11.407392801231772,1416.5208606726392,1474.9658464732115
69.0,1387.3365563928267,1194.7243048143841,11.730913196736289,1357.8879151883762,1482.789219815322
70.0,1378.070342244165,1253.0266568864881,12.063608105311102,1365.3939186348393,1468.7261296724575
71.0,1366.4793126542154,1216.7917105525507,12.405737665833446,1362.0524930501012,1432.5890690182548
72.0,1353.1900367786577,1354.1569850985302,12.757569378832793,1414.6294464486327,1376.3482072376917
73.0,1338.6760881369528,1410.2095705915515,13.1193783401949,1474.9896562768695,1304.557355348458
74.0,1323.2952247796552,1182.2573813827053,13.49144742888168,1439.691703296714,1224.4502401673155
75.0,1307.3175346822543,1283.5932851473358,13.874067556544041,1455.8348066486628,1145.5039535431094
76.0,1290.9467425807256,1500.332081671782,14.267537864518257,1526.815078524729,1078.3333275589796
77.0,1274.3363402706161,1233.889931224105,14.67216598825688,1505.9095238881614,1032.9542161616525
78.0,1257.6017978791056,1155.0047609696117,15.088268266330532,1458.5125795896217,1016.7127743013164
79.0,1240.8298083335255,1288.7976851336443,15.516170017969351,1469.9264930549396,1032.4253864343702
80.0,1224.085285884484,1196.7099740240174,15.956205767537746,1447.940728072685,1077.3625627040344
81.0,1207.4166643633341,1122.693346796949,16.40871953307443,1402.4957420512576,1143.5275694373868
82.0,1190.8599082645503,977.0156254537665,16.874065069920828,1297.777187883839,1219.252297198137
83.0,1174.4415493731822,1270.5491104561956,17.35260616828948,1294.8999999529553,1291.647917447543
84.0,1158.180985676336,1092.0450407710441,17.84471691942635,1249.8019898158861,1349.1545801505251
85.0,1142.0922217788097,1142.181935985209,18.35078202084811,1227.2332909993982,1383.473573392649
86.0,1126.185186500171,1006.399319351458,18.871197067713215,1180.1532592203928,1390.4810153779135
87.0,1110.4667303675324,1255.017794843959,19.4063688653216,1189.3688985072627,1370.1210307159515
88.0,1094.9413807642784,1176.8290839546396,19.956715747401812,1187.666950002808,1325.5696961293395
89.0,1079.6119136039028,1185.5084453372517,20.52266789660704,1187.1914371516386,1262.0664374960834
90.0,1064.4797860967615,1052.7259399450368,21.104667690359566,1163.0499980862319,1185.756087639236
91.0,1049.5454643507392,1098.6556415019652,21.70317003123674,1150.2198509561233,1102.754440545645
